pillar,service,recommended_url,decision,page_value,score,service_fit,url_role,semrush_phrase_rows,semrush_phrase_aggregate_volume,matched_seed_queries,keyword_examples,decision_rationale,title_h1_guidance,internal_linking_notes,schema_recommendation,cannibalization_rule
feel-good,Digital Marketing,/growth-services/feel-good/digital-marketing/,launch,standalone-page,69.8,high,umbrella Feel Good service page,2,114500,digital marketing services | digital marketing agency,digital marketing services (vol 40500) | digital marketing agency (vol 74000),"business/source bias 25 ; SEMrush phrase rows 2, aggregate phrase volume 114500 ; SERP pattern supports standalone commercial service/agency pages ; high dotfun Growth Services fit",Title leads with Digital Marketing service intent; H1 can blend service + dotfun feel good story.,Link from /growth-services/ and pillar page; cross-link to related services; link to AI Solutions only for automation/AI implementation needs.,Service + Organization + FAQPage,Keep service page focused on marketing/design service intent; avoid AI Solutions custom automation language unless linking out.
feel-good,SEO / AEO,/growth-services/feel-good/seo-aeo/,launch,standalone-page,68.6,high,search/discovery service page,3,61980,seo services | aeo services | generative engine optimization services,seo services (vol 60500) | aeo services (vol 480) | generative engine optimization services (vol 1000),"business/source bias 24 ; SEMrush phrase rows 3, aggregate phrase volume 61980 ; SERP pattern supports standalone commercial service/agency pages ; high dotfun Growth Services fit",Title leads with SEO / AEO service intent; H1 can blend service + dotfun feel good story.,Link from /growth-services/ and pillar page; cross-link to related services; link to AI Solutions only for automation/AI implementation needs.,Service + Organization + FAQPage,Keep service page focused on marketing/design service intent; avoid AI Solutions custom automation language unless linking out.
look-good,Web Design,/growth-services/look-good/web-design/,launch,standalone-page,68.2,high,primary Look Good service page,2,45200,web design services | web design agency,web design services (vol 18100) | web design agency (vol 27100),"business/source bias 25 ; SEMrush phrase rows 2, aggregate phrase volume 45200 ; SERP pattern supports standalone commercial service/agency pages ; high dotfun Growth Services fit",Title leads with Web Design service intent; H1 can blend service + dotfun look good story.,Link from /growth-services/ and pillar page; cross-link to related services; link to AI Solutions only for automation/AI implementation needs.,Service + Organization + FAQPage,Keep service page focused on marketing/design service intent; avoid AI Solutions custom automation language unless linking out.
feel-good,Paid Media,/growth-services/feel-good/paid-media/,launch-candidate,standalone-page,54.5,medium-high,paid acquisition service page,2,5300,paid media agency | paid media services,paid media agency (vol 2900) | paid media services (vol 2400),"business/source bias 18 ; SEMrush phrase rows 2, aggregate phrase volume 5300 ; SERP pattern supports standalone commercial service/agency pages ; medium-high service fit",Title leads with Paid Media service intent; H1 can blend service + dotfun feel good story.,Link from /growth-services/ and pillar page; cross-link to related services; link to AI Solutions only for automation/AI implementation needs.,Service + Organization + FAQPage,Keep service page focused on marketing/design service intent; avoid AI Solutions custom automation language unless linking out.
feel-good,Growth Marketing,/growth-services/feel-good/growth-marketing/,launch-candidate,standalone-page,51.7,high,growth strategy + execution page,3,3820,growth marketing agency | growth marketing services | fractional growth marketing,growth marketing agency (vol 2900) | growth marketing services (vol 880) | fractional growth marketing (vol 40),"business/source bias 20 ; SEMrush phrase rows 3, aggregate phrase volume 3820 ; high dotfun Growth Services fit",Title leads with Growth Marketing service intent; H1 can blend service + dotfun feel good story.,Link from /growth-services/ and pillar page; cross-link to related services; link to AI Solutions only for automation/AI implementation needs.,Service + Organization + FAQPage,Keep service page focused on marketing/design service intent; avoid AI Solutions custom automation language unless linking out.
look-good,Web Development,/growth-services/look-good/web-development/,launch-candidate,standalone-page,52.5,high,build/development service page,1,14800,web development services,web development services (vol 14800),"business/source bias 20 ; SEMrush phrase rows 1, aggregate phrase volume 14800 ; high dotfun Growth Services fit",Title leads with Web Development service intent; H1 can blend service + dotfun look good story.,Link from /growth-services/ and pillar page; cross-link to related services; link to AI Solutions only for automation/AI implementation needs.,Service + Organization + FAQPage,Keep service page focused on marketing/design service intent; avoid AI Solutions custom automation language unless linking out.
look-good,Video Production,/growth-services/look-good/video-production/,launch-candidate,standalone-page,48.6,medium-high,video/creative service page,2,18000,video production services | video production company,video production services (vol 8100) | video production company (vol 9900),"business/source bias 18 ; SEMrush phrase rows 2, aggregate phrase volume 18000 ; medium-high service fit",Title leads with Video Production service intent; H1 can blend service + dotfun look good story.,Link from /growth-services/ and pillar page; cross-link to related services; link to AI Solutions only for automation/AI implementation needs.,Service + Organization + FAQPage,Keep service page focused on marketing/design service intent; avoid AI Solutions custom automation language unless linking out.
feel-good,Fractional Growth Leadership,/growth-services/feel-good/fractional-growth-leadership/,phase-two,standalone-page-or-section,45.8,medium,advisory/leadership service page,2,1940,fractional cmo services | fractional growth marketing,fractional cmo services (vol 1900) | fractional growth marketing (vol 40),"business/source bias 14 ; SEMrush phrase rows 2, aggregate phrase volume 1940 ; SERP pattern supports standalone commercial service/agency pages ; medium service fit; validate proof and packaging",Title leads with Fractional Growth Leadership service intent; H1 can blend service + dotfun feel good story.,Link from /growth-services/ and pillar page; cross-link to related services; link to AI Solutions only for automation/AI implementation needs.,Service + Organization + FAQPage,Keep service page focused on marketing/design service intent; avoid AI Solutions custom automation language unless linking out.
feel-good,Content Strategy,/growth-services/feel-good/content-strategy/,phase-two,standalone-page-or-section,45.4,medium-high,content planning service page,2,2780,content strategy services | content marketing strategy services,content strategy services (vol 1900) | content marketing strategy services (vol 880),"business/source bias 18 ; SEMrush phrase rows 2, aggregate phrase volume 2780 ; medium-high service fit",Title leads with Content Strategy service intent; H1 can blend service + dotfun feel good story.,Link from /growth-services/ and pillar page; cross-link to related services; link to AI Solutions only for automation/AI implementation needs.,Service + Organization + FAQPage,Keep service page focused on marketing/design service intent; avoid AI Solutions custom automation language unless linking out.
look-good,Branding Design,/growth-services/look-good/branding-design/,phase-two,standalone-page-or-section,45.0,medium-high,brand/identity service page,2,2190,branding design services | brand identity design services,branding design services (vol 590) | brand identity design services (vol 1600),"business/source bias 18 ; SEMrush phrase rows 2, aggregate phrase volume 2190 ; medium-high service fit",Title leads with Branding Design service intent; H1 can blend service + dotfun look good story.,Link from /growth-services/ and pillar page; cross-link to related services; link to AI Solutions only for automation/AI implementation needs.,Service + Organization + FAQPage,Keep service page focused on marketing/design service intent; avoid AI Solutions custom automation language unless linking out.
look-good,Graphic Design,/growth-services/look-good/graphic-design/,phase-two,standalone-page-or-section,35.4,medium,supporting design service page,1,8100,graphic design services,graphic design services (vol 8100),"business/source bias 10 ; SEMrush phrase rows 1, aggregate phrase volume 8100 ; medium service fit; validate proof and packaging",Title leads with Graphic Design service intent; H1 can blend service + dotfun look good story.,Link from /growth-services/ and pillar page; cross-link to related services; link to AI Solutions only for automation/AI implementation needs.,Service + Organization + FAQPage,Keep service page focused on marketing/design service intent; avoid AI Solutions custom automation language unless linking out.
feel-good,GTM Strategy,/growth-services/feel-good/gtm-strategy/,section-on-parent,section-on-parent,27.2,medium,strategy consulting service page,1,70,gtm strategy consulting,gtm strategy consulting (vol 70),"business/source bias 10 ; SEMrush phrase rows 1, aggregate phrase volume 70 ; medium service fit; validate proof and packaging",Title leads with GTM Strategy service intent; H1 can blend service + dotfun feel good story.,Link from /growth-services/ and pillar page; cross-link to related services; link to AI Solutions only for automation/AI implementation needs.,Service + Organization + FAQPage,Keep service page focused on marketing/design service intent; avoid AI Solutions custom automation language unless linking out.
feel-good,Analytics & Reporting,/growth-services/feel-good/analytics-reporting/,section-on-parent,section-on-parent,23.0,medium,supporting service page,1,20,analytics reporting services,analytics reporting services (vol 20),"business/source bias 8 ; SEMrush phrase rows 1, aggregate phrase volume 20 ; medium service fit; validate proof and packaging",Title leads with Analytics & Reporting service intent; H1 can blend service + dotfun feel good story.,Link from /growth-services/ and pillar page; cross-link to related services; link to AI Solutions only for automation/AI implementation needs.,Service + Organization + FAQPage,Keep service page focused on marketing/design service intent; avoid AI Solutions custom automation language unless linking out.
look-good,Ad Design / Creative,/growth-services/look-good/ad-design/,section-on-parent,section-on-parent,26.6,medium,performance creative support page,1,50,ad creative design services | creative testing services,creative testing services (vol 50),"business/source bias 10 ; SEMrush phrase rows 1, aggregate phrase volume 50 ; medium service fit; validate proof and packaging",Title leads with Ad Design / Creative service intent; H1 can blend service + dotfun look good story.,Link from /growth-services/ and pillar page; cross-link to related services; link to AI Solutions only for automation/AI implementation needs.,Service + Organization + FAQPage,Keep service page focused on marketing/design service intent; avoid AI Solutions custom automation language unless linking out.
run-good,Run Good,/ai-solutions/,route-to-ai-solutions,navigation-route,100,high,"navigation route to AI Solutions, not Growth child service",0,0,,,Perl confirmed Run Good should click into AI Solutions architecture for simplicity,Run Good card/CTA should say Run Good and route to AI Solutions,Growth Services Run Good card links to /ai-solutions/; do not create Run Good child pages.,Service + Organization + FAQPage,Run Good/automation language belongs to AI Solutions.
