url,page_role,parent_url,priority,primary_intent,source_basis,schema,notes
/iris/,platform-overview,/iris/,P0,B2B SaaS platform evaluation,required architecture parent ; current dotfun Iris page exists ; multiple competitor/source evidence points,SoftwareApplication + Product,
/iris/features/,feature-overview,/iris/,P0,feature evaluation,required architecture parent ; multiple competitor/source evidence points,SoftwareApplication + Product,
/iris/features/ai-crm/,feature,/iris/features/,P0,feature evaluation,"core product feature from source docs / competitor pattern ; SEMrush relevant evidence: 353 rows, aggregate volume 74420 ; confirmed current feature by Perl 2026-06-07",SoftwareApplication + Product,"Potential overlap with AI Solutions/custom Iris builds; keep Iris page productized, software-native, B2B SaaS."
/iris/features/ai-receptionist/,feature,/iris/features/,P1,feature evaluation,"core product feature from source docs / competitor pattern ; SEMrush relevant evidence: 3 rows, aggregate volume 8470 ; multiple competitor/source evidence points ; confirmed current feature by Perl 2026-06-07",SoftwareApplication + Product,
/iris/features/ai-calendar/,feature,/iris/features/,P1,feature evaluation,"core product feature from source docs / competitor pattern ; SEMrush relevant evidence: 5 rows, aggregate volume 610 ; confirmed current feature by Perl 2026-06-07",SoftwareApplication + Product,
/iris/features/ai-sms/,feature,/iris/features/,P1,feature evaluation,"core product feature from source docs / competitor pattern ; SEMrush relevant evidence: 4 rows, aggregate volume 190 ; confirmed current feature by Perl 2026-06-07",SoftwareApplication + Product,"Potential overlap with AI Solutions/custom Iris builds; keep Iris page productized, software-native, B2B SaaS."
/iris/features/ai-voice/,feature,/iris/features/,P1,feature evaluation,core product feature from source docs / voice is part of AI receptionist and phone-agent capability ; confirmed current feature by Perl 2026-06-07,SoftwareApplication + Product,"Potential overlap with AI Solutions voice/SMS agents; keep Iris page productized, software-native, B2B SaaS."
/iris/features/ai-web-chat/,feature,/iris/features/,P1,feature evaluation,core product feature from source docs / competitor pattern ; confirmed current feature by Perl 2026-06-07,SoftwareApplication + Product,"Potential overlap with AI Solutions/custom Iris builds; keep Iris page productized, software-native, B2B SaaS."
/iris/features/dashboards-analytics/,feature,/iris/features/,P1,feature evaluation,core product feature from source docs / competitor pattern ; confirmed current feature by Perl 2026-06-07,SoftwareApplication + Product,"Potential overlap with AI Solutions/custom Iris builds; keep Iris page productized, software-native, B2B SaaS."
/iris/features/outbound/,feature,/iris/features/,P1,feature evaluation,core product feature from source docs / competitor pattern ; confirmed current feature by Perl 2026-06-07,SoftwareApplication + Product,"Potential overlap with AI Solutions/custom Iris builds; keep Iris page productized, software-native, B2B SaaS."
/iris/features/web-forms/,feature,/iris/features/,P1,feature evaluation,core product feature from source docs / competitor pattern ; confirmed current feature by Perl 2026-06-07,SoftwareApplication + Product,
/iris/solutions/,solutions-overview,/iris/,P0,vertical solution evaluation,required architecture parent ; multiple competitor/source evidence points,Article/FAQPage as applicable,
/iris/solutions/property-management/,vertical-solution,/iris/solutions/,P0,vertical solution evaluation,current dotfun Iris page exists ; confirmed Iris vertical ; My AI Front Desk has property-management adjacent evidence,Service + FAQPage,Keep vertical page about Iris software for property management; custom implementation routes to AI Solutions.
/iris/solutions/home-services/,vertical-solution,/iris/solutions/,P0,vertical solution evaluation,current dotfun Iris page exists ; confirmed Iris vertical ; My AI Front Desk validates vertical solution strategy,Service + FAQPage,Keep vertical page about Iris software for home services; custom implementation routes to AI Solutions.
/iris/solutions/legal-services/,vertical-solution,/iris/solutions/,P0,vertical solution evaluation,current dotfun Iris page exists ; confirmed Iris vertical ; My AI Front Desk validates vertical solution strategy,Service + FAQPage,Keep vertical page about Iris software for legal services/law firms; custom implementation routes to AI Solutions.
/iris/solutions/real-estate/,vertical-solution,/iris/solutions/,P2,vertical solution evaluation,strong adjacent vertical from My AI Front Desk patterns,Service + FAQPage,Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.
/iris/solutions/residential-property-management/,vertical-solution,/iris/solutions/,P2,vertical solution evaluation,strong adjacent vertical from My AI Front Desk patterns,Service + FAQPage,Keep vertical page about using Iris software in this market; custom implementation requests route to AI Solutions.
